param#0 	 param#1 	 dist 	  wgt 
0.663648 	-3.070955 	33.989172 	0.000038 	
0.513710 	-1.847611 	26.865805 	0.005309 	
0.508758 	-3.033630 	41.535662 	0.000048 	
0.619920 	-0.410343 	90.477879 	0.009418 	
0.519184 	-2.198586 	39.774150 	0.001952 	
0.336319 	-1.746112 	74.003717 	0.007104 	
0.009878 	-0.707986 	38.499641 	0.018376 	
0.476686 	-1.475191 	42.784115 	0.010816 	
0.553388 	-0.549571 	62.336633 	0.011656 	
0.415999 	-0.114998 	98.561361 	0.005779 	
0.365509 	-1.724088 	31.724478 	0.007350 	
0.345763 	-1.577281 	53.214802 	0.009754 	
0.266078 	-1.826087 	61.535637 	0.006131 	
0.212163 	-0.941888 	34.924595 	0.017467 	
0.224478 	-1.033206 	36.448658 	0.017249 	
0.248405 	-1.224897 	41.027690 	0.015608 	
0.798777 	-0.395497 	102.600464 	0.008587 	
0.511820 	-0.855791 	62.580997 	0.014837 	
0.349727 	-2.282663 	83.822915 	0.001532 	
0.476126 	-0.687445 	70.186353 	0.013749 	
0.710785 	-3.520834 	37.210837 	0.000002 	
0.383836 	-3.148926 	67.323399 	0.000026 	
0.132793 	-0.807966 	30.378236 	0.017755 	
0.279254 	-0.699421 	50.196183 	0.015238 	
0.409504 	-1.549817 	37.777422 	0.009933 	
0.400695 	-1.115093 	28.461127 	0.015386 	
0.651495 	-1.292290 	44.052578 	0.012480 	
0.761915 	-1.795138 	87.832462 	0.005639 	
0.352934 	-1.864400 	30.327616 	0.005381 	
0.249648 	-1.840819 	102.196537 	0.005969 	
0.508109 	-1.258348 	44.688390 	0.013513 	
0.467089 	-0.411743 	91.747960 	0.010049 	
0.230575 	-0.256373 	80.321436 	0.008569 	
0.698754 	-2.776120 	41.605223 	0.000180 	
0.200637 	-1.338054 	56.002864 	0.014538 	
0.301726 	-2.043278 	69.930046 	0.003881 	
0.486593 	-1.092803 	47.662963 	0.013296 	
0.596377 	-0.852349 	48.485834 	0.014988 	
0.100220 	-0.810150 	35.485254 	0.016413 	
0.440056 	-2.255152 	40.412834 	0.001790 	
0.318128 	-1.772489 	53.772411 	0.006675 	
0.260373 	-0.804739 	29.727604 	0.013841 	
0.310950 	-1.630629 	30.115874 	0.008510 	
0.515968 	-0.946228 	69.799185 	0.014036 	
0.180679 	-0.646693 	71.047540 	0.013249 	
0.459273 	-1.000495 	28.186608 	0.013613 	
0.094175 	-0.646739 	41.737656 	0.014584 	
0.263179 	-1.477945 	32.729758 	0.011014 	
0.363515 	-0.973908 	48.866649 	0.013671 	
0.651331 	-2.021927 	55.796894 	0.003209 	
0.387426 	-0.891868 	37.579353 	0.013602 	
0.339770 	-1.468245 	51.291763 	0.010234 	
0.591018 	-2.208170 	60.287717 	0.001869 	
0.492382 	-1.596007 	36.220162 	0.007936 	
0.695306 	-2.028324 	66.890492 	0.003212 	
0.150543 	-0.691534 	24.895337 	0.014164 	
0.474026 	-1.218560 	48.899600 	0.012321 	
0.197344 	-0.584762 	41.723280 	0.012344 	
0.274513 	-1.133419 	52.474368 	0.013908 	
0.637177 	-1.647831 	39.117836 	0.007473 	
0.636988 	-1.307898 	49.744746 	0.012269 	
0.674491 	-1.521617 	52.512062 	0.009530 	
0.040723 	-0.833263 	39.033137 	0.018414 	
0.271172 	-0.654856 	41.573724 	0.012594 	
0.169290 	-0.917509 	42.574009 	0.015641 	
0.432724 	-0.483763 	68.675819 	0.010940 	
0.341630 	-0.598558 	59.402980 	0.011876 	
0.648841 	-2.099968 	56.389333 	0.002579 	
0.563079 	-1.682499 	47.930345 	0.006829 	
0.381998 	-1.277148 	40.127847 	0.011973 	
0.407021 	-1.758139 	39.694575 	0.006232 	
0.190361 	-1.006518 	33.740334 	0.015461 	
0.560489 	-1.447706 	56.654845 	0.009923 	
0.524323 	-1.784483 	46.139622 	0.005595 	
0.626045 	-1.469111 	43.553005 	0.009950 	
0.469691 	-0.696847 	42.296442 	0.013096 	
0.426797 	-0.494857 	60.122726 	0.011030 	
0.292945 	-0.472625 	59.066774 	0.010515 	
0.516120 	-0.690595 	50.178250 	0.013440 	
0.469877 	-0.442862 	63.209788 	0.010719 	
0.778508 	-1.824772 	58.866653 	0.005799 	
0.561874 	-1.856057 	54.737932 	0.004779 	
0.238811 	-0.489562 	62.982406 	0.010881 	
0.758344 	-1.993210 	62.996264 	0.003700 	
0.735334 	-1.930448 	61.543022 	0.004283 	
0.528132 	-0.482915 	68.428438 	0.011712 	
0.466903 	-1.366645 	69.171516 	0.010796 	
0.375379 	-1.775834 	37.400566 	0.006202 	
0.428991 	-1.062635 	36.181276 	0.013341 	
0.001208 	-0.820287 	55.651378 	0.019768 	
0.399511 	-1.699869 	37.603019 	0.006965 	
0.648558 	-2.230149 	58.975041 	0.001740 	
0.449034 	-0.714018 	39.307080 	0.013078 	
0.522675 	-1.981073 	35.111876 	0.003580 	
0.312374 	-1.995087 	46.381095 	0.004265 	
0.838864 	-2.228103 	71.122767 	0.001969 	
0.008798 	-0.699201 	41.351862 	0.017632 	
0.446290 	-1.996437 	35.466397 	0.003606 	
0.551264 	-1.515916 	40.758211 	0.008996 	
0.422417 	-1.366127 	60.952640 	0.010893 	
0.378733 	-1.627249 	33.110001 	0.007981 	
0.518539 	-2.460332 	37.628415 	0.000843 	
0.466946 	-2.616299 	43.338520 	0.000501 	
0.076188 	-0.399028 	68.218798 	0.010958 	
0.454312 	-1.595466 	36.061217 	0.008021 	
0.455482 	-1.051006 	43.052121 	0.013422 	
0.570850 	-1.754434 	34.706323 	0.005943 	
0.221969 	-1.667324 	73.094960 	0.009232 	
0.145611 	-0.735528 	50.412460 	0.014722 	
0.389022 	-1.481672 	17.847502 	0.009710 	
0.256516 	-0.555338 	46.825519 	0.011604 	
0.301039 	-0.694033 	42.447403 	0.012812 	
0.313843 	-0.465544 	45.410597 	0.010413 	
0.272912 	-0.851641 	36.687609 	0.013977 	
0.364054 	-1.500282 	32.083887 	0.009652 	
0.665336 	-2.077050 	44.540876 	0.002767 	
0.413945 	-1.003560 	54.948610 	0.013540 	
0.166797 	-0.567007 	34.150948 	0.012417 	
0.146952 	-0.585718 	42.573014 	0.012898 	
0.317567 	-1.293804 	21.917911 	0.012305 	
0.421879 	-1.616272 	27.202631 	0.007881 	
0.195296 	-0.943273 	24.115622 	0.015262 	
0.706998 	-1.852255 	63.609958 	0.005081 	
0.080617 	-0.530895 	37.711147 	0.013077 	
0.304159 	-1.524664 	40.919904 	0.009913 	
0.374018 	-0.927783 	30.312314 	0.013653 	
0.284923 	-1.976335 	64.374544 	0.004665 	
0.292966 	-0.952957 	21.566172 	0.014071 	
0.515596 	-1.188589 	38.129234 	0.012700 	
0.548488 	-0.813801 	53.920839 	0.014317 	
0.416252 	-1.283685 	46.776876 	0.011769 	
0.559831 	-0.845630 	73.247082 	0.014501 	
0.424323 	-1.173119 	50.123818 	0.012695 	
0.517847 	-2.535182 	23.648466 	0.000642 	
0.401434 	-0.930552 	46.757751 	0.013627 	
0.383958 	-1.518796 	34.115852 	0.009726 	
0.487777 	-1.511108 	36.981573 	0.009090 	
0.538097 	-1.293993 	45.653427 	0.012048 	
0.272723 	-1.364386 	46.251465 	0.013135 	
0.003063 	-0.322427 	25.148066 	0.008942 	
0.295080 	-1.455093 	45.533078 	0.011894 	
0.591175 	-1.918301 	51.686083 	0.004028 	
0.338778 	-1.074852 	44.939696 	0.013301 	
0.188389 	-0.945477 	43.206148 	0.015074 	
0.529422 	-2.015251 	25.402910 	0.003308 	
0.479124 	-1.658986 	46.911502 	0.007293 	
0.421309 	-0.870232 	36.768832 	0.013639 	
0.530852 	-1.565707 	35.968613 	0.008345 	
0.366330 	-1.458797 	25.406653 	0.010578 	
0.348615 	-1.491913 	36.911156 	0.010505 	
0.369385 	-0.690219 	43.007753 	0.012501 	
0.446838 	-1.758273 	18.089564 	0.006353 	
0.231409 	-1.224063 	37.034282 	0.014831 	
0.330102 	-1.530810 	48.215506 	0.010430 	
0.438248 	-1.483944 	34.992626 	0.009618 	
0.330210 	-1.392084 	44.325177 	0.011737 	
0.303741 	-0.537166 	39.742541 	0.010748 	
0.521471 	-1.943974 	34.395764 	0.003969 	
0.301880 	-0.718655 	43.252311 	0.012300 	
0.312025 	-1.449509 	34.507799 	0.011576 	
0.644682 	-2.871525 	26.806245 	0.000134 	
0.430800 	-0.814211 	38.795335 	0.013712 	
0.220778 	-0.533205 	49.930021 	0.010482 	
0.041361 	-0.860644 	46.920141 	0.019163 	
0.509004 	-1.299587 	48.006117 	0.011741 	
0.341414 	-0.830037 	29.870769 	0.013015 	
0.425908 	-1.752086 	37.411391 	0.006611 	
0.396585 	-1.407125 	33.543206 	0.010757 	
0.064885 	-0.497408 	31.858909 	0.011213 	
0.638981 	-3.349192 	34.993796 	0.000013 	
0.337865 	-1.356979 	39.170049 	0.011903 	
0.270651 	-0.468478 	40.847749 	0.009858 	
0.564907 	-1.908592 	27.290524 	0.004170 	
0.208941 	-0.871631 	42.528529 	0.014087 	
0.350236 	-1.409658 	39.244198 	0.011272 	
0.398685 	-0.946027 	55.522354 	0.013436 	
0.692338 	-1.555990 	41.219049 	0.009770 	
0.506678 	-1.522631 	53.122437 	0.008916 	
0.353871 	-1.484519 	48.131959 	0.010498 	
0.274825 	-1.709030 	44.711661 	0.009762 	
0.485490 	-1.077264 	38.479739 	0.013689 	
0.344882 	-1.117741 	40.137494 	0.013158 	
0.332301 	-0.759846 	43.096425 	0.012649 	
0.121474 	-0.561802 	44.945074 	0.011493 	
0.334242 	-1.154996 	28.678676 	0.013126 	
0.444029 	-1.722255 	38.398632 	0.006786 	
0.633552 	-1.136853 	48.093885 	0.016432 	
0.335191 	-1.808059 	50.153161 	0.007230 	
0.425595 	-1.208439 	38.837200 	0.012380 	
0.443760 	-1.677673 	34.263021 	0.007305 	
0.339413 	-1.113814 	42.628457 	0.013210 	
0.715521 	-2.125778 	52.803354 	0.002235 	
0.518625 	-1.573814 	49.654323 	0.008240 	
0.168334 	-0.724634 	30.743469 	0.013161 	
0.471093 	-0.945078 	50.634038 	0.014190 	
0.234018 	-0.432766 	42.168120 	0.009325 	
0.469344 	-2.079887 	31.016229 	0.003085 	
0.575073 	-1.580662 	48.894778 	0.008226 	
0.286116 	-2.043478 	56.225633 	0.005571 	
0.576267 	-1.542175 	36.456923 	0.008792 	
0.601586 	-2.191539 	42.259562 	0.001876 	
0.209645 	-0.632101 	36.896789 	0.011663 	
0.445552 	-0.491341 	56.208553 	0.012472 	
0.307974 	-1.040099 	36.885280 	0.013566 	
0.393020 	-1.530363 	43.114095 	0.009492 	
0.315347 	-0.805654 	45.821166 	0.012866 	
0.226066 	-1.292376 	41.609330 	0.014821 	
0.490049 	-2.218861 	47.107011 	0.002045 	
0.416087 	-1.577757 	35.995895 	0.008715 	
0.589160 	-1.751030 	35.779531 	0.005930 	
0.478292 	-0.824045 	35.086419 	0.014562 	
0.520875 	-1.927183 	50.864867 	0.004130 	
0.394914 	-2.687415 	48.619820 	0.000621 	
0.564503 	-1.065585 	48.747250 	0.015267 	
0.339129 	-1.238680 	24.323312 	0.012691 	
0.232661 	-0.713211 	51.783591 	0.012399 	
0.538830 	-2.771831 	35.243360 	0.000270 	
0.279003 	-0.761344 	38.585519 	0.012622 	
0.337007 	-1.552750 	48.213871 	0.010072 	
0.416864 	-1.011088 	30.839678 	0.013418 	
0.287430 	-1.784937 	52.262034 	0.008528 	
0.129765 	-0.920880 	47.902008 	0.016455 	
0.111909 	-0.497399 	31.435567 	0.010607 	
0.317599 	-1.068273 	54.029765 	0.013471 	
0.371893 	-0.862900 	43.359307 	0.013232 	
0.160942 	-0.606817 	54.463619 	0.011712 	
0.460682 	-1.474710 	19.611280 	0.009613 	
0.162550 	-0.852411 	33.007848 	0.014774 	
0.313965 	-0.653882 	27.652169 	0.011842 	
0.087489 	-0.651740 	44.245761 	0.013532 	
0.597794 	-1.971811 	51.999603 	0.003507 	
0.559949 	-1.657456 	40.740068 	0.007130 	
0.189065 	-0.570692 	38.485440 	0.011034 	
0.550361 	-1.769122 	45.078032 	0.005729 	
0.451811 	-2.033589 	21.443355 	0.003571 	
0.494910 	-2.567120 	17.893309 	0.000627 	
0.180549 	-0.889644 	46.512714 	0.014192 	
0.440595 	-1.186840 	34.347557 	0.011865 	
0.332190 	-0.953829 	27.649580 	0.012445 	
0.081390 	-0.336510 	31.709027 	0.009124 	
0.459379 	-1.364380 	38.584628 	0.009834 	
0.596487 	-2.314977 	39.416120 	0.001124 	
0.292717 	-1.475907 	41.143721 	0.010083 	
0.286753 	-1.286597 	34.314735 	0.011508 	
0.499536 	-1.388087 	40.065600 	0.010020 	
0.458528 	-1.302691 	37.705408 	0.010650 	
0.495935 	-2.422619 	37.235972 	0.000961 	
0.332179 	-1.143288 	35.808796 	0.011654 	
0.285353 	-1.094122 	31.614972 	0.012312 	
0.600103 	-1.879268 	33.332512 	0.004122 	
0.586879 	-1.803415 	34.866018 	0.004926 	
0.488007 	-1.145541 	41.436270 	0.013586 	
0.255719 	-0.939357 	25.647883 	0.012768 	
0.416340 	-1.442635 	42.087144 	0.008707 	
0.216067 	-0.736467 	36.329595 	0.012283 	
0.493521 	-2.253488 	32.606628 	0.001554 	
0.475720 	-2.466716 	43.981257 	0.000906 	
0.258770 	-1.005621 	38.377604 	0.012805 	
0.165237 	-0.462109 	46.594072 	0.009993 	
0.363372 	-1.492114 	41.881531 	0.008554 	
0.121978 	-0.450900 	33.752964 	0.010258 	
0.460166 	-1.695451 	37.398220 	0.005790 	
0.303728 	-0.774402 	42.002876 	0.012333 	
0.490089 	-1.829678 	25.518909 	0.004373 	
0.329607 	-1.599088 	40.091546 	0.008129 	
0.226323 	-0.993758 	20.614991 	0.013450 	
0.128278 	-0.677478 	42.128834 	0.013409 	
0.560958 	-1.724513 	38.085834 	0.005737 	
0.390017 	-1.655659 	18.573978 	0.006645 	
0.347918 	-1.059765 	24.683527 	0.012082 	
0.310222 	-1.064352 	36.119120 	0.012140 	
0.039770 	-0.368530 	39.351596 	0.010506 	
0.489536 	-1.994559 	42.535945 	0.003014 	
0.363489 	-0.732672 	42.051690 	0.013270 	
0.334010 	-1.130552 	34.743811 	0.011716 	
0.268008 	-1.270644 	44.694862 	0.012068 	
0.461789 	-1.763676 	41.202144 	0.005085 	
0.330882 	-1.263993 	21.215530 	0.010896 	
0.251895 	-1.083401 	35.863264 	0.012945 	
0.212259 	-0.997364 	43.699699 	0.013846 	
0.366509 	-0.766411 	45.735579 	0.013309 	
0.259393 	-1.552043 	39.808653 	0.010655 	
0.584768 	-1.534065 	47.281825 	0.009194 	
0.383601 	-0.881262 	33.493649 	0.013364 	
0.217307 	-0.891154 	45.873614 	0.013242 	
0.437715 	-1.526779 	39.857291 	0.007720 	
0.480488 	-1.218439 	29.873219 	0.012255 	
0.534063 	-2.074014 	32.929915 	0.002370 	
0.418871 	-1.783216 	47.260952 	0.005155 	
0.041901 	-0.759369 	39.368222 	0.019824 	
0.152267 	-0.586832 	33.087614 	0.011636 	
0.265738 	-0.590146 	28.094872 	0.011256 	
0.193809 	-0.723281 	37.331374 	0.012462 	
0.526365 	-0.996795 	37.955029 	0.018070 	
0.153574 	-1.081742 	35.155843 	0.016964 	
0.218846 	-0.730976 	39.495050 	0.012215 	
0.236296 	-1.212730 	40.466639 	0.013259 	
0.345110 	-1.152710 	28.802315 	0.011543 	
0.362499 	-1.668449 	46.081685 	0.006887 	
0.528041 	-1.444694 	36.581761 	0.009603 	
0.539052 	-1.999742 	32.710063 	0.002876 	
0.378981 	-1.737134 	38.834008 	0.006010 	
0.359822 	-1.765423 	38.053571 	0.006046 	
0.539247 	-1.321111 	33.770384 	0.012143 	
